"Id","LHC"
382,140.71
383,138.92
384,0
385,0
386,140.71
387,138.92
388,0
389,365
390,36.86809439
391,0
392,138.92
393,0
394,36.86809439
395,365
396,138.92
397,0
398,0
399,140.71
400,138.92
401,36.86809439
402,138.92
403,0
404,138.92
405,138.92
406,0
407,140.71
408,36.86809439
409,365
410,3.35
411,138.92
412,0
413,140.71
414,103.6517288
415,3.35
416,103.6517288
417,365
418,0
419,36.868094
420,138.92
421,3.35
422,89.03
423,0
424,140.71
425,138.92
426,138.92
427,0
428,365
429,36.868094
430,138.92
431,138.92
432,3.35
433,140.71
434,138.92
435,36.868094
436,36.868094
437,365
438,138.92
439,0
440,140.71
441,3.35
442,0
443,0
444,365
445,3.35
446,36.868094
447,138.92
448,3.35
449,0
450,3.35
451,36.868094
452,140.71
453,0
454,365
455,47.73997152
456,138.92
457,36.868094
458,140.71
459,47.73997152
460,36.868094
461,129.2151235
462,47.73997152
463,36.868094
464,0
465,47.73997152
466,138.92
467,129.2151235
468,140.71
469,0
470,129.215124
471,47.73997152
472,94.9002139
473,47.73997152
474,138.92
475,0
476,129.215124
477,138.92
478,36.868094
479,365
480,94.9002139
481,140.71
482,138.92
483,36.868094
484,138.92
485,138.92
486,140.71
487,0
488,0
489,140.71
490,0
491,94.9002139
492,36.868094
493,138.92
494,0
495,166.5852375
496,138.92
497,0
498,166.5852375
499,137.5980015
500,0
501,140.71
502,36.868094
503,140.71
504,0
505,140.71
506,0
507,166.5852375
508,138.92
509,36.868094
510,0
511,365
512,140.71
513,0
514,138.92
515,166.5852375
516,36.868094
517,365
518,140.71
519,0
520,138.92
521,166.5852375
522,36.868094
523,0
524,365
525,140.71
526,138.92
527,166.5852375
528,36.868094
529,0
530,365
531,138.92
532,140.71
533,138.92
534,166.5852375
535,36.868094
536,0
537,365
538,138.92
539,140.71
540,166.5852375
541,36.868094
542,0
543,0
544,138.92
545,140.71
546,0
547,0
548,0
549,0
550,36.868094
551,365
552,138.92
553,140.71
554,0
555,0
556,140.71
557,0
558,36.868094
559,365
560,138.92
561,140.71
562,140.71
563,0
564,0
565,365
566,0
567,140.71
568,36.868094
569,0
570,0
571,365
572,0
573,0
574,0
575,140.71
576,0
577,365
578,0
579,0
580,0
581,140.71
